Дата,Цена
2024-12-06 00:00:00+00:00,67.52
2024-12-09 00:00:00+00:00,68.1
2024-12-10 00:00:00+00:00,66.94
2024-12-11 00:00:00+00:00,67.81
2024-12-12 00:00:00+00:00,66.57
2024-12-13 00:00:00+00:00,66.38
2024-12-16 00:00:00+00:00,64.25
2024-12-17 00:00:00+00:00,64.21
2024-12-18 00:00:00+00:00,65.23
2024-12-19 00:00:00+00:00,65.95
2024-12-20 00:00:00+00:00,72.88
2024-12-23 00:00:00+00:00,74.19
2024-12-24 00:00:00+00:00,73.89
2024-12-25 00:00:00+00:00,76.53
2024-12-26 00:00:00+00:00,75.74
2024-12-27 00:00:00+00:00,76.49
2024-12-28 00:00:00+00:00,78.09
2024-12-30 00:00:00+00:00,80.03
2025-01-03 00:00:00+00:00,77.78
2025-01-06 00:00:00+00:00,77.97
2025-01-08 00:00:00+00:00,78.64
2025-01-09 00:00:00+00:00,76.04
2025-01-10 00:00:00+00:00,79.28
2025-01-13 00:00:00+00:00,79.36
2025-01-14 00:00:00+00:00,81.27
2025-01-15 00:00:00+00:00,82.5
2025-01-16 00:00:00+00:00,84.56
2025-01-17 00:00:00+00:00,87.0
2025-01-20 00:00:00+00:00,86.17
2025-01-21 00:00:00+00:00,87.69
2025-01-22 00:00:00+00:00,86.01
2025-01-23 00:00:00+00:00,87.8
2025-01-24 00:00:00+00:00,87.54
2025-01-27 00:00:00+00:00,83.72
2025-01-28 00:00:00+00:00,84.66
2025-01-29 00:00:00+00:00,83.95
2025-01-30 00:00:00+00:00,83.85
2025-01-31 00:00:00+00:00,83.89
2025-02-03 00:00:00+00:00,81.96
2025-02-04 00:00:00+00:00,80.35
2025-02-05 00:00:00+00:00,82.09
2025-02-06 00:00:00+00:00,82.4
2025-02-07 00:00:00+00:00,81.19
2025-02-10 00:00:00+00:00,80.0
2025-02-11 00:00:00+00:00,82.11
2025-02-12 00:00:00+00:00,88.14
2025-02-13 00:00:00+00:00,89.54
2025-02-14 00:00:00+00:00,87.79
2025-02-17 00:00:00+00:00,98.76
2025-02-18 00:00:00+00:00,91.73
2025-02-19 00:00:00+00:00,94.5
2025-02-20 00:00:00+00:00,92.92
2025-02-21 00:00:00+00:00,92.36
2025-02-24 00:00:00+00:00,96.22
2025-02-25 00:00:00+00:00,93.68
2025-02-26 00:00:00+00:00,90.48
2025-02-27 00:00:00+00:00,89.3
2025-02-28 00:00:00+00:00,91.7
2025-03-01 00:00:00+00:00,91.73
2025-03-02 00:00:00+00:00,90.49
2025-03-03 00:00:00+00:00,90.77
2025-03-04 00:00:00+00:00,93.18
2025-03-05 00:00:00+00:00,90.52
2025-03-06 00:00:00+00:00,91.15
2025-03-07 00:00:00+00:00,91.07
2025-03-10 00:00:00+00:00,90.99
2025-03-11 00:00:00+00:00,90.7
2025-03-12 00:00:00+00:00,90.31
2025-03-13 00:00:00+00:00,89.86
2025-03-14 00:00:00+00:00,90.99
2025-03-15 00:00:00+00:00,91.02
2025-03-16 00:00:00+00:00,92.29
2025-03-17 00:00:00+00:00,92.6
2025-03-18 00:00:00+00:00,90.13
2025-03-19 00:00:00+00:00,90.65
2025-03-20 00:00:00+00:00,90.72
2025-03-21 00:00:00+00:00,89.82
2025-03-24 00:00:00+00:00,89.05
2025-03-25 00:00:00+00:00,90.99
2025-03-26 00:00:00+00:00,89.11
2025-03-27 00:00:00+00:00,87.07
2025-03-28 00:00:00+00:00,82.35
2025-03-29 00:00:00+00:00,81.59
2025-03-30 00:00:00+00:00,81.59
2025-03-31 00:00:00+00:00,81.96
2025-04-01 00:00:00+00:00,78.78
2025-04-02 00:00:00+00:00,79.88
2025-04-03 00:00:00+00:00,77.86
2025-04-04 00:00:00+00:00,72.25
2025-04-05 00:00:00+00:00,72.32
2025-04-06 00:00:00+00:00,73.73
2025-04-07 00:00:00+00:00,70.89
2025-04-08 00:00:00+00:00,67.76
2025-04-09 00:00:00+00:00,73.28
2025-04-10 00:00:00+00:00,73.16
2025-04-11 00:00:00+00:00,76.76
2025-04-12 00:00:00+00:00,78.17
2025-04-13 00:00:00+00:00,78.19
2025-04-14 00:00:00+00:00,75.5
2025-04-15 00:00:00+00:00,77.1
2025-04-16 00:00:00+00:00,79.73
2025-04-17 00:00:00+00:00,83.28
2025-04-18 00:00:00+00:00,83.3
2025-04-21 00:00:00+00:00,85.39
2025-04-22 00:00:00+00:00,86.32
2025-04-23 00:00:00+00:00,85.4
2025-04-24 00:00:00+00:00,85.52
2025-04-25 00:00:00+00:00,87.24
2025-04-26 00:00:00+00:00,87.84
2025-04-27 00:00:00+00:00,87.93
2025-04-28 00:00:00+00:00,98.55
2025-04-29 00:00:00+00:00,97.3
2025-04-30 00:00:00+00:00,98.1
2025-05-02 00:00:00+00:00,96.6
2025-05-03 00:00:00+00:00,96.59
2025-05-04 00:00:00+00:00,97.13
2025-05-05 00:00:00+00:00,96.19
2025-05-06 00:00:00+00:00,97.42
2025-05-07 00:00:00+00:00,97.64
2025-05-08 00:00:00+00:00,97.75
2025-05-10 00:00:00+00:00,98.08
2025-05-11 00:00:00+00:00,99.07
2025-05-12 00:00:00+00:00,99.72
2023-05-15 00:00:00+00:00,112.4
2023-05-16 00:00:00+00:00,111.65
2023-05-17 00:00:00+00:00,116.725
2023-05-18 00:00:00+00:00,116.05
2023-05-19 00:00:00+00:00,115.65
2023-05-22 00:00:00+00:00,114.425
2023-05-23 00:00:00+00:00,118.3
2023-05-24 00:00:00+00:00,118.125
